document_id,match,sentence,paragraph,query
1cc9d23889814cc88108e2c222efdf2a,obama warn russia,"With the Russian military seen moving in Crimea, Obama pointedly warned Russia of harsher actions, which led to further strain in the relations between the Cold War rivals.","With the Russian military seen moving in Crimea, Obama pointedly warned Russia of harsher actions, which led to further strain in the relations between the Cold War rivals. While EU took active interest in the matter and wanted to engage Moscow through dialog, the terms dictated by the US did not bear any fruit. Despite Russia's repeated statements that the Crimean referendum on secession was in line with the international law and the UN Charter and in conformity with the precedent set by Kosovo's secession from Serbia in 2008, the west and Kiev have refused to recognize the legality of Crimea's reunification with Russia.27",IR
4377170dff6d4920b5285c20ff858cb0,committee urge russia,"In response to these concerns, the Committee urged Russia to ""nsure the prompt, effective, thorough, independent, and impartial investigation of threats, violent assaults and murders of journalists and . . .","In November 2009, the United Nations Human Rights Committee expressed concern at the ""alarming incidence of threats, violent assaults and murders of journalists and human rights defenders in , which has created a climate of fear and a chilling effect on the media.""121 The Committee stated that it ""regrets the lack of effective measures taken by to protect the right to life and security of these persons.""122 In response to these concerns, the Committee urged Russia to ""nsure the prompt, effective, thorough, independent, and impartial investigation of threats, violent assaults and murders of journalists and . . . prosecute and institute proceedings against the perpetrators of such acts.""123 The Committee requested that Russia provide it with detailed information regarding the criminal prosecutions of cases involving harm to journalists between 2003 and 2009.124",IR
f3dfd9105dad47cdaebebc0f9ed4f3d3,morawiecki accuse putin,"Polish Prime Minister Mateusz Morawiecki has accused Russian President Vladimir Putin of ""deliberately"" lying about the start of World War II in an effort to deflect international pressure over Moscow's much more recent activities.","Polish Prime Minister Mateusz Morawiecki has accused Russian President Vladimir Putin of ""deliberately"" lying about the start of World War II in an effort to deflect international pressure over Moscow's much more recent activities.",IR
39566e9f572745d788ecf54baf3d026b,patriarch warn russia,"15.D. Wemer, Ukrainian Patriarch Warns Russia Will Exploit Split in Orthodox Church ?, Atlantic Council, 20 septembre 2018, disponible sur : <_URL_> et K. Kruk, The Last Missing Piece to Make Ukraine Truly Independent ?, Atlantic Council, 15 aout 2018, disponible sur : <_URL_>.","15.D. Wemer, Ukrainian Patriarch Warns Russia Will Exploit Split in Orthodox Church ?, Atlantic Council, 20 septembre 2018, disponible sur : <_URL_> et K. Kruk, The Last Missing Piece to Make Ukraine Truly Independent ?, Atlantic Council, 15 aout 2018, disponible sur : <_URL_>.",IR
3fa49d3c80ef479797ff9353605eb3f5,clinton urge freedom,Title: Clinton Urges Global Internet Freedom:,Title: Clinton Urges Global Internet Freedom:,IR
ad0dcf0c357540e6b8b824c53d56f2e1,shevardnadze accuse gorbachev,"This changed in December 1990, when Shevardnadze accused Gorbachev, who at the same time held the posts of CPSU secretary general and president of the USSR, of dictatorial designs and resigned as minister.","This changed in December 1990, when Shevardnadze accused Gorbachev, who at the same time held the posts of CPSU secretary general and president of the USSR, of dictatorial designs and resigned as minister. By then Gorbachev, intent on preventing the breakup of the state, had resolved to strengthen the central authority 24 and to introduce a more rigorous domestic policy .25 Thenceforth all major foreign policy decisions were taken by the president of the USSR and his closest advisors.26",IR
814111e398194074b3bfe74af0fb15a2,ahmadinejad accuse russia,"Iran showed its displeasure, with Ahmadinejad accusing Russia this month of selling out ""to our enemies"" -- referring to the United States.","Iran showed its displeasure, with Ahmadinejad accusing Russia this month of selling out ""to our enemies"" -- referring to the United States.",IR
e7b3121ac5d8453dacc133551815883e,turkmenistan accuse gazprom,"In that case, Turkmenistan accused Gazprom of deliberately arranging the explosion.","Turkmenistan does have some leverage vis-a-vis Russia. Turkmenistan is the single major source of natural gas that can help keep the supply sufficient for European markets.While the mutually converging interests for exports and imports seem to bind these two countries together, there are tensions .6 However, frequent price disputes and the vulnerability Turkmenistan faces regarding the potential manipulation of its pipeline monopoly by Russia make the diversification of gas pipelines a desirable energy strategy for Turkmen leaders. Recent losses suffered due to a stoppage of exports to Russia in 2009 meant that its gas production fell to 38 bcm from 70.5 bcm the previous year. This stoppage translated into a one-quarter drop in Turkmenistan's gross domestic product . Events such as theApril 9, 2009, pipeline explosion near the Turkmen-Uzbek border demonstrate the tensions. In that case, Turkmenistan accused Gazprom of deliberately arranging the explosion. Russia attempted to leverage Turkmenistan either to reduce the price or the volume of gas or a combination of both prior to resuming the gas flow . This is an example of complex interdependence in that Russia's role as the primary importer of Turkmen gas has actually given Turkmenistan some leverage.",IR
24c724f5db264f6f95dbb22205052726,lithuania accuse russia,Lithuania has accused Russia of imposing new border checks as part of its campaign to intimidate former Soviet republics seeking closer ties with the European Union.,Lithuania has accused Russia of imposing new border checks as part of its campaign to intimidate former Soviet republics seeking closer ties with the European Union.,IR
1e9a0695a7714429918330c69a6eba70,gordon warn russia,"15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .","15 Michael R. Gordon ""U.S. Warns Russia Over Military Support for Assad,"" New York Times , _URL_ r=0, .",IR
